哀悼	参加追悼会的人向死者表示深切的哀悼。//$
归	休假结束后，运动员们都归了队，开始训练。/这只可怜的小猫被人遗弃了，无家可归。/$这几本书归文学类，那几本归哲学类。/把我们的钱都归到一块儿看够不够?。/把剩下的东西归到一起处理掉。//$这本书归你。/光荣归大家。/这事不归我管。//$
归还	办公室的钥匙用后要及时归还。/借别人的钱要归还。/这位司机把乘客丢的贵重物品都归还给了主人。//$
归纳	归纳起来，大家的意见主要有三点。/我们把调查的结果归纳以后再向上级汇报。/这篇报告的内容太多，需要好好归纳归纳。/$
归于	荣誉归于集体。/光荣归于祖国和人民。②向某个方向发展：国家归于统一。/经过讨论，大家的看法逐渐归于一致了。//$
规定	。/学校规定晚上十一点之前必须回宿舍。/我们公司规定上午八点上班。/宪法规定了公民享有的权利和义务。/$
规划	。/我们要好好规划下一步的工作。/对于如何发展教育，应该进行全面规划。//$
诡辩	这件事明明是他的责任，他还诡辩。/这个人不讲道理，只会诡辩。/他诡辩了半天也说服不了别人。//$
跪	。/我跪在地上给爷爷磕了一个头。/他都跪了一个多小时了。/我不赞成有的餐馆让服务员跪着服务。//$
滚	滚开!别在这儿捣乱!。/皮球在地上滚着。/他在地上滚了几下。/孩子们在雪地里滚雪球，越滚越大。/小猫把球推得滚来滚去。//$。/让他滚，我不想再看见他!
滚动	车轮滚动。/球在地上不停地滚动。/球在沙子上滚动了几下就不动了。//$
裹	快用纱布把伤口裹好，别发炎了。/纸里裹着一件标本。/外面风很大，她用大衣紧紧裹住发烧的孩子。//$
过	过了这条马路就是银行。/$过了河就到我家了。/我刚过完二十岁生日。/我们的生活越过越好了。/再过十天就到新年了。//$把这些黄瓜过过秤，看够不够分量?。/这种菜在炒之前要先过一下水。/这些物品我已经过了数儿了，一件不少。//$你做得太过了。/你话说过了，他受不了。/喝酒如果过了量，对身体有害。/我说不过你，你想怎样就怎样吧。//$
过不去	前边修路，汽车过不去。/没船我们过不去河。/这次考试要求很高，我又没好好复习，恐怕过不去了。/$不知道为什么，最近他老和我过不去。/自从我给她提了一些意见后，她总和我过不去。/你对自己要求太高了，这不是和自己过不去吗。/$
过得去	这条路很宽，多大的汽车也过得去。/这条胡同虽然窄，但是自行车还过得去。/$女儿的字不能说写得好，但是还过得去。/这件礼物是不算贵重，但过得去就行了。/这次考试考得不太好，可也过得去。//$
过路	前边发生了车祸，许多过路的车辆都停了下来。/我是过路的，不知道这儿刚才发生了什么事。//$
过渡	。/中国正在从农业国向工业国过渡。/在过渡阶段，许多原有的规定都需要修改。//$
过奖	您过奖了，我哪儿有那么好?。/您太过奖了，我实在不敢当。/过奖，过奖!我还差得远呢。//$
哈	他习惯地往眼镜上哈口气，又_用手帕擦了擦。/$
海运	把这批书海运回去。/海运比航空运输慢几天?。/这批货物在海运中出了点儿问题。//$
害	害了一个月的病。/害过一场大病。他一个人害了全家。/这几天又停电、又停水，可把我们害苦了。//$这个人是被人害的，死得很惨。/$
酣睡	酣睡了一天一夜。/看着酣睡中的女儿，她幸福地笑了。//$
含	别含手指!。/把药片含在嘴里。/$他嘴里含着一块糖。/这种水果含的水分不多，但很甜。/你听懂他的话里所含的意思了吗?//$
函购	。/本厂出产的产品都可以函购。/这种词典书店买不到，我是从出版社函购的。/有些函购广告是骗人的，要小心。//$
函授	参加工作以后，他通过函授学了三年文学。/学校通知函授生假期到学校来上课。/$
喊	你大声喊什么?。/他大喊一声“站住!"就追了上去。/游行队伍一边走一边喊口号。//$我听见楼下有人喊我。/你去看王老师的时候，喊我一声。/我每次去看足球比赛，都喊着小王一起去。//$
捍卫	。/战士的职责是捍卫祖国。//$
焊	焊的地方又开了，要把它再焊上。/$
航空	“国航”是中国国际航空公司的简称。//$
航天	中国的航天技术发展很快。/一年内航天飞机停止飞行。//$
航行	我们已经在海上航行了一个星期了。/$
号	别号了!//$
号叫	。/你号叫什么?。/他号叫着扑了上来。//$
号哭	。/他跪在父亲的墓前大声号哭。/一阵号哭后，她嗓子都哑了。//$
号啕	听到这个坏消息后，全家人都号啕大哭起来。/她抱着病重的孩子号啕痛哭。//$
毫无	他一下子变得毫无主意了。/他的病太重了，医生也感到毫无办法。/关于这件事我们调查了半个月，毫无收获。/她脸上毫无表情。//$
嚎	别嚎了!。/狼在嚎。/爸爸生气地说：“你再嚎，就把你关在屋子里。”//$
好说	这件事好说，你别担心。/你要修一下自行车吗?好说!。/增加人的事好说，这个月就可以解决。/$
好像	这几天天气真热，好像夏天了。/青年人好像早晨八九点钟的太阳。//$
号召	学校号召大家星期天参加义务劳动。/北京市号召大家要节约用水。/政府号召人民积极种草种树，绿化城市。/班长的号召得到了全班同学的响应。//$
好	他特别好学，所以进步很快。/女孩子好跳舞，男孩子好打球。//$
耗	玩电脑游戏很耗时间。//$
喝	。/下课后，我请你喝咖啡。/你怕不怕喝中药?//$他每顿饭都要喝几口。/他爱吃爱唱，身体不好。/有空儿咱们一起喝几杯。//$
合	合上眼晴休息一会儿。/笑得合不上嘴。/同学们，请把书合上，我们开始听写。/$几个班合在一起听课。/我们两人合写了一本书。/几个人一起合办了一家工厂。//$你的话正合我的心意。/不合要求的产品要退回去。/这座桥的设计很合标准。//$1公斤合1000克。/买这套房子加上装修合多少钱?//$
合并	两个公司合并以后实力更强了。/这几个学院都合并到那个大学了。//$
合唱	现在大家一起合唱《歌唱祖国》。/最后一个节目是男女声合唱。/$
合得来	我和我的同屋很合得来，我们每天一起学习、运动和散步。/这个人脾气好，跟谁都合得来。/我不知道跟新来的班长合得来合不来。//$
台伙	我们几个人合伙开了一家饭馆。/一个人干不行，要几个人合伙干。/我和小王合伙做服装生意。/你一个人干，还是合伙干?//$
合资	中外合资。/北京有很多外国独资企业和中外合资企业。//$
合作	我们已经合作了很长时间，互相比较了解。/希望有机会再一次合作。/$
合计	你要了这么多菜，合计多少钱?。/我们学校中国学生加外国学生合计一万多人。/两间教室的椅子合计六十把，还差十几把。//$
核对	这笔账要核对一下。/这个案件要再核对一下事实。/这些账要一笔一笔地核对清楚。//$
核算	新产品的成本核算出来没有?/$
核准	这个项目已经核准了。/我们的计划什么时候能核准下来?//$
和	一人唱大家和。/他们两个人一唱一和配合得真好。/低音和着高音真好听。//$
喝	警察大声喝道：“不许动!”//$
恨	他永远恨那个欺骗了他的人。/虽然哥哥嫂嫂对他不好，但他并不恨他们。//$恨晚来了一步，没看到心爱的人。/恨老天不帮忙，刚收了麦子就天天下雨。//$
恨不得	恨不得马上飞到妈妈身边。/恨不得一口吃成胖子。/我恨不得一下子就长成大人。/对朋友他恨不得把心都掏出来。//$
哄	一次又一次地哄我。/你已经哄过我一次了，还想再哄我吗?。/难道你想哄她一辈子吗?。/你哄了父母哄朋友，现在又哄同事，没有人会相信你了。//$孩子哭了，快去哄哄他。/他一看见奶奶不高兴，就去哄她。/这些东西哄哄孩子还行，怎么能当礼物送人呢?//$
哄	你们把他哄急了。/再哄我就生气了。/哄得太没意思了。/哄得别人都烦了。//$
吼	你听，老虎在吼。/狮子吼了一声，就扑了上来。/$痛苦地吼了一声。/拍着桌子大吼。/吼得喉咙都哑了。/爸爸突然站起来向哥哥吼了起来。/你吼了半天了，也该休息一会儿了。//$风在吼。/火车吼了几声，慢慢地开动了。//$
后退	全体后退一步，坐下。/前面有条大河，无法前进，队伍只好向后退。/你后退几步看这幅画，效果会更好。/公司办到这一步，只能前进，不能后退，后退是没有希望的。//$
后悔	后悔得太晚了。/他会为这件事后悔一辈子。/我真后悔没听妈妈的意见，看错了人。//$
候	请稍候。/$
候车	乘坐去上海的22欢列车的旅客请在第二候车室候车。/他们正在候车室里等你，快去吧。/开车前半个小时，候车的人就排好队等着上车。//$
侯机	因为天气原因，今天在机场候机花了六个小时。/首都机场的候机大厅达到了国际水平。/我们半个小时就可以到机场，候机时间不会很长。//$
候诊	病人请到门外椅子上候诊。/他在候诊的时候，不小心被人偷了钱包。/今天病人太多，所以候诊的时间太长。/这家医院为候诊的病人准备了开水和报纸、杂志。//$
呼	他深深地呼出一口气来。/大夫给他检查腹部时，让他深深地呼口气。/跑了一会儿，他不停地大口呼气。//$/$有些国家的人可以直呼父母的名字。//$
呼吸	呼吸正常。/有没有呼吸。/他的呼吸变得急促起来。/儿子的呼吸很均匀。/奶奶停止了呼吸，永远离开了我们。//$
呼喊	他轻声地呼喊着心爱的人的名字。/观众中有人吃惊地呼喊起来。/广场上有人唱歌，有人呼喊口号。//$
呼唤	呼唤了好长时间。/祖国在呼唤我们。/他虽然听到了妈妈的呼唤声，仍然头也不回地走了。//$
呼啸	风在呼啸。/子弹在士兵们的头顶上呼啸。/$
呼吁	政府呼吁全市人民要保持安定。/向全社会呼吁，要爱护我们生存的环境。//$
忽略	忽略了这个问题。/质量问题千万不能忽略。/这些具体问题很容易被忽略。/由于工作太忙，他忽略了对孩子的教育。/请再提醒他一下，免得忽略了会造成麻烦。//$
忽视	忽视了对落后地区的工作。/不应该忽视教育。/忙得忽视了治病。/不要只注意形式而忽视了内容。//$
煳	饭煳了。/把肉烧煳了。/衣服煳了一块，洗不掉了。/这锅菜煳得不能吃了。//$
糊	每年春天奶奶给我糊风筝。/他看到四周的墙壁又黑又脏，就在上边糊了一层白纸。/$
